bf.q.bgpSessionStatus().answer().frame()
	Node	VRF	Local_AS	Local_Interface	Local_IP	Remote_AS	Remote_Node	Remote_Interface	Remote_IP	Address_Families	Session_Type	Established_Status
0	edge1	default	65200	None	10.99.0.1	65100	router1	None	10.99.0.0	['IPV4_UNICAST', 'EVPN']	EBGP_SINGLEHOP	ESTABLISHED
1	node1-1	default	65001	None	172.16.254.0	65011	node2-1	None	172.16.254.1	['IPV4_UNICAST', 'EVPN']	EBGP_SINGLEHOP	ESTABLISHED
2	node1-1	default	65001	None	172.16.254.2	65012	node2-2	None	172.16.254.3	['IPV4_UNICAST', 'EVPN']	EBGP_SINGLEHOP	ESTABLISHED
3	node1-1	default	65000	None	172.16.0.1	65000	node2-1	None	172.16.0.11	['IPV4_UNICAST', 'EVPN']	IBGP	NOT_ESTABLISHED
4	node1-1	default	65000	None	172.16.0.1	65000	node2-2	None	172.16.0.12	['IPV4_UNICAST', 'EVPN']	IBGP	NOT_ESTABLISHED
5	node1-2	default	65002	None	172.16.254.4	65011	node2-1	None	172.16.254.5	['IPV4_UNICAST', 'EVPN']	EBGP_SINGLEHOP	ESTABLISHED
6	node1-2	default	65002	None	172.16.254.6	65012	node2-2	None	172.16.254.7	['IPV4_UNICAST', 'EVPN']	EBGP_SINGLEHOP	ESTABLISHED
7	node1-2	default	65000	None	172.16.0.2	65000	node2-1	None	172.16.0.11	['IPV4_UNICAST', 'EVPN']	IBGP	NOT_ESTABLISHED
8	node1-2	default	65000	None	172.16.0.2	65000	node2-2	None	172.16.0.12	['IPV4_UNICAST', 'EVPN']	IBGP	NOT_ESTABLISHED
9	node2-1	default	65011	None	172.16.254.1	65001	node1-1	None	172.16.254.0	['IPV4_UNICAST', 'EVPN']	EBGP_SINGLEHOP	ESTABLISHED
10	node2-1	default	65000	None	172.16.0.11	65000	node1-1	None	172.16.0.1	['IPV4_UNICAST', 'EVPN']	IBGP	NOT_ESTABLISHED
11	node2-1	default	65000	None	172.16.0.11	65000	node1-2	None	172.16.0.2	['IPV4_UNICAST', 'EVPN']	IBGP	NOT_ESTABLISHED
12	node2-1	default	65000	None	172.16.0.11	65000	router1	None	172.16.0.100	['IPV4_UNICAST', 'EVPN']	IBGP	NOT_ESTABLISHED
13	node2-1	default	65011	None	172.16.254.5	65002	node1-2	None	172.16.254.4	['IPV4_UNICAST', 'EVPN']	EBGP_SINGLEHOP	ESTABLISHED
14	node2-1	default	65011	None	172.16.254.9	65100	router1	None	172.16.254.8	['IPV4_UNICAST', 'EVPN']	EBGP_SINGLEHOP	ESTABLISHED
15	node2-1	default	65000	None	172.16.0.11	65000	node2-2	None	172.16.0.12	['IPV4_UNICAST', 'EVPN']	IBGP	NOT_ESTABLISHED
16	node2-2	default	65000	None	172.16.0.12	65000	node1-1	None	172.16.0.1	['IPV4_UNICAST', 'EVPN']	IBGP	NOT_ESTABLISHED
17	node2-2	default	65000	None	172.16.0.12	65000	node1-2	None	172.16.0.2	['IPV4_UNICAST', 'EVPN']	IBGP	NOT_ESTABLISHED
18	node2-2	default	65012	None	172.16.254.3	65001	node1-1	None	172.16.254.2	['IPV4_UNICAST', 'EVPN']	EBGP_SINGLEHOP	ESTABLISHED
19	node2-2	default	65000	None	172.16.0.12	65000	router1	None	172.16.0.100	['IPV4_UNICAST', 'EVPN']	IBGP	NOT_ESTABLISHED
20	node2-2	default	65012	None	172.16.254.7	65002	node1-2	None	172.16.254.6	['IPV4_UNICAST', 'EVPN']	EBGP_SINGLEHOP	ESTABLISHED
21	node2-2	default	65012	None	172.16.254.11	65100	router1	None	172.16.254.10	['IPV4_UNICAST', 'EVPN']	EBGP_SINGLEHOP	ESTABLISHED
22	node2-2	default	65000	None	172.16.0.12	65000	node2-1	None	172.16.0.11	['IPV4_UNICAST', 'EVPN']	IBGP	NOT_ESTABLISHED
23	router1	TENANT-A	65100	None	10.99.0.0	65200	edge1	None	10.99.0.1	['IPV4_UNICAST', 'EVPN']	EBGP_SINGLEHOP	ESTABLISHED
24	router1	default	65100	None	172.16.254.8	65011	node2-1	None	172.16.254.9	['IPV4_UNICAST', 'EVPN']	EBGP_SINGLEHOP	ESTABLISHED
25	router1	default	65000	None	172.16.0.100	65000	node2-1	None	172.16.0.11	['IPV4_UNICAST', 'EVPN']	IBGP	NOT_ESTABLISHED
26	router1	default	65100	None	172.16.254.10	65012	node2-2	None	172.16.254.11	['IPV4_UNICAST', 'EVPN']	EBGP_SINGLEHOP	ESTABLISHED
27	router1	default	65000	None	172.16.0.100	65000	node2-2	None	172.16.0.12	['IPV4_UNICAST', 'EVPN']	IBGP	NOT_ESTABLISHED
